entity,attribute_camel,attribute_snake,description
AssessmentItemApip,AssessmentItemAPIPResponseProcessingXML,assessment_item_apip_response_processing_xml,"Response processing is the process by which the Delivery Engine assigns outcomes based on the learner's responses. The outcomes may be used to provide feedback to the learner Feedback is either provided immediately following the end of the learner's attempt or it is provided at some later time, perhaps as part of a summary report on the item session. The XML from the IMS Global APIP Specification would be included."
AssessmentItemApip,AssessmentItemAPIPTemplateDeclarationXML,assessment_item_apip_template_declaration_xml,Template declarations declare item variables that are to be used specifically for the purposes of cloning items. They can have their value set only during template processing. They are referred to within the item body in order to individualize the clone and possibly also within the response Processing rules if the cloning process affects the way the item is scored.  The XML from the IMS Global APIP Specification would be included.
AssessmentItemApip,AssessmentItemAPIPTemplateProcessingXML,assessment_item_apip_template_processing_xml,"Template processing consists of one or more template rules that are followed by the cloning engine or delivery system in order to assign values to the template variables. Template processing is identical in form to responseProcessing except that the purpose is to assign values to template variables, not outcome variables. The XML from the IMS Global APIP Specification would be included."
AssessmentItem,AssessmentItemAllottedTime,assessment_item_allotted_time,The amount of time allotted for a specific item.
ApipInteraction,AssessmentItemBodyAssociateInteractionXML,assessment_item_body_associate_interaction_xml,An associate interaction presents candidates with a number of choices and allows them to create associations between them. The XML from the IMS Global APIP Specification would be included.
ApipInteraction,AssessmentItemBodyChoiceInteractionXML,assessment_item_body_choice_interaction_xml,"The choice interaction presents a set of choices to the candidate. The candidate's task is to select one or more of the choices, up to a maximum of maxChoices. The interaction is always initialized with no choices selected. The XML from the IMS Global APIP Specification would be included."
ApipInteraction,AssessmentItemBodyCustomInteractionXML,assessment_item_body_custom_interaction_xml,The custom interaction provides an opportunity for extensibility of this specification to include support for interactions not currently documented.  The XML from the IMS Global APIP Specification would be included.
ApipInteraction,AssessmentItemBodyDrawingInteractionXML,assessment_item_body_drawing_interaction_xml,The drawing interaction allows the candidate to use a common set of drawing tools to modify a given graphical image (the canvas). It must be bound to a response variable with base-type file and single cardinality. The result is a file in the same format as the original image. The XML from the IMS Global APIP Specification would be included.
ApipInteraction,AssessmentItemBodyEndAttemptInteractionXML,assessment_item_body_end_attempt_interaction_xml,"The end attempt interaction is a special type of interaction which allows item authors to provide the candidate with control over the way in which the candidate terminates an attempt. The candidate can use the interaction to terminate the attempt (triggering response processing) immediately, typically to request a hint. It must be bound to a response variable with base-type boolean and single cardinality. The XML from the IMS Global APIP Specification would be included."
ApipInteraction,AssessmentItemBodyExtendedTextInteractionXML,assessment_item_body_extended_text_interaction_xml,An extended text interaction allows the candidate to enter an extended amount of text. The XML from the IMS Global APIP Specification would be included.
